,Fecha,Habitaciones Hoteles,Habitaciones Para-Hoteles,Habitaciones Total
0,2016-01-01,25482.0,2914.0,28396.0
1,2016-02-01,23838.0,2726.0,26564.0
2,2016-03-01,25482.0,2914.0,28396.0
3,2016-04-01,24630.0,2820.0,27450.0
4,2016-05-01,25420.0,2914.0,28334.0
5,2016-06-01,24840.0,2820.0,27660.0
6,2016-07-01,25389.0,2914.0,28303.0
7,2016-08-01,25389.0,2914.0,28303.0
8,2016-09-01,24480.0,2820.0,27300.0
9,2016-10-01,25296.0,2914.0,28210.0
10,2016-11-01,24480.0,2820.0,27300.0
11,2016-12-01,25296.0,2914.0,28210.0
12,2017-01-01,25203.0,2573.0,27776.0
13,2017-02-01,22764.0,2324.0,25088.0
14,2017-03-01,25203.0,2573.0,27776.0
15,2017-04-01,24390.0,2490.0,26880.0
16,2017-05-01,25234.0,2573.0,27807.0
17,2017-06-01,24420.0,2490.0,26910.0
18,2017-07-01,25234.0,2573.0,27807.0
19,2017-08-01,25234.0,2573.0,27807.0
20,2017-09-01,24390.0,2490.0,26880.0
21,2017-10-01,25234.0,2573.0,27807.0
22,2017-11-01,24420.0,2490.0,26910.0
23,2017-12-01,25234.0,2573.0,27807.0
24,2018-01-01,25234.0,2573.0,27807.0
25,2018-02-01,22792.0,2324.0,25116.0
26,2018-03-01,25885.0,2573.0,28458.0
27,2018-04-01,25050.0,2490.0,27540.0
28,2018-05-01,25854.0,2573.0,28427.0
29,2018-06-01,25140.0,2490.0,27630.0
30,2018-07-01,26009.0,2573.0,28582.0
31,2018-08-01,24614.0,2573.0,27187.0
32,2018-09-01,25170.0,2490.0,27660.0
33,2018-10-01,26009.0,2573.0,28582.0
34,2018-11-01,23820.0,2490.0,26310.0
35,2018-12-01,24614.0,2573.0,27187.0
36,2019-01-01,24738.0,2573.0,27311.0
37,2019-02-01,23604.0,2324.0,25928.0
38,2019-03-01,26133.0,2573.0,28706.0
39,2019-04-01,25290.0,2490.0,27780.0
40,2019-05-01,26133.0,2573.0,28706.0
41,2019-06-01,25290.0,2490.0,27780.0
42,2019-07-01,26133.0,2573.0,28706.0
43,2019-08-01,26133.0,2573.0,28706.0
44,2019-09-01,25290.0,2490.0,27780.0
45,2019-10-01,26133.0,2573.0,28706.0
46,2019-11-01,25290.0,2490.0,27780.0
47,2019-12-01,26133.0,2573.0,28706.0
48,2020-01-01,25203.0,2573.0,27776.0
49,2020-02-01,22562.0,2436.0,24998.0
50,2020-03-01,14424.0,1644.0,16068.0
51,2020-04-01,12736.35,1415.15,14151.5
52,2020-05-01,11011.5,1223.5,12235.0
53,2020-06-01,9286.65,1031.85,10318.5
54,2020-07-01,7100.0,1302.0,8402.0
55,2020-08-01,8045.1,893.90,8939.0
56,2020-09-01,8528.4,947.6,9476.0
57,2020-10-01,7905.0,2108.0,10013.0
58,2020-11-01,11490.0,2040.0,13530.0
59,2020-12-01,15673.0,2108.0,17781.0
60,2021-01-01,13671.0,2387.0,16058.0
61,2021-02-01,12348.0,2156.0,14504.0
62,2021-03-01,13671.0,2387.0,16058.0
63,2021-04-01,12660.0,2040.0,14700.0
64,2021-05-01,13144.0,2108.0,15252.0
65,2021-06-01,11444.0,2040.0,13484.0
66,2021-07-01,13144.0,2294.0,15438.0
67,2021-08-01,13144.0,2108.0,15252.0
68,2021-09-01,12720.0,2220.0,14940.0
69,2021-10-01,15314.0,2108.0,17422.0
70,2021-11-01,14752.0,2040.0,16792.0
71,2021-12-01,15841.0,2108.0,17949.0
72,2022-01-01,17825.0,2108.0,19933.0
73,2022-02-01,16100.0,1904.0,18004.0
74,2022-03-01,17825.0,2108.0,19933.0
75,2022-04-01,17250.0,2040.0,19290.0
76,2022-05-01,17825.0,2108.0,19933.0
77,2022-06-01,17250.0,2040.0,19290.0
78,2022-07-01,17825.0,2108.0,19933.0
79,2022-08-01,17825.0,2108.0,19933.0
80,2022-09-01,17250.0,2040.0,19290.0
81,2022-10-01,17825.0,2108.0,19933.0
82,2022-11-01,17250.0,2040.0,19290.0
