Fecha,Porcentaje Ocupacion,Estadia Promedio,Año,Mes
2016-01-01,47.86,1.977502119,2016,1
2016-02-01,40.81,1.90608139,2016,2
2016-03-01,29.5,1.851373757,2016,3
2016-04-01,30.15,1.978529185,2016,4
2016-05-01,29.94,1.814510448,2016,5
2016-06-01,30.38,1.78087837,2016,6
2016-07-01,39.6,1.85837239,2016,7
2016-08-01,38.86,1.690926864,2016,8
2016-09-01,38.23,1.850379841,2016,9
2016-10-01,38.34,1.779028916,2016,10
2016-11-01,41.2,1.738271605,2016,11
2016-12-01,35.37,1.995335337,2016,12
2017-01-01,45.79,1.804067536,2017,1
2017-02-01,42.67,1.841455725,2017,2
2017-03-01,29.9,1.820760133,2017,3
2017-04-01,34.0,1.746716498,2017,4
2017-05-01,35.01,1.914848909,2017,5
2017-06-01,36.44,1.789063281,2017,6
2017-07-01,46.75,1.886792453,2017,7
2017-08-01,41.16,1.825166315,2017,8
2017-09-01,42.76,1.906453227,2017,9
2017-10-01,42.47,1.849770642,2017,10
2017-11-01,44.47,1.862998648,2017,11
2017-12-01,41.88,1.842392216,2017,12
2018-01-01,54.36,1.994238575,2018,1
2018-02-01,62.28,2.033280507,2018,2
2018-03-01,41.43,1.857380873,2018,3
2018-04-01,36.03,1.896388862,2018,4
2018-05-01,36.1,1.894695939,2018,5
2018-06-01,38.14,1.890162548,2018,6
2018-07-01,59.39,1.872638566,2018,7
2018-08-01,53.04,1.930583571,2018,8
2018-09-01,44.5,1.85314186,2018,9
2018-10-01,47.01,1.775770765,2018,10
2018-11-01,42.2,1.800973451,2018,11
2018-12-01,36.13,1.882358912,2018,12
2019-01-01,60.07,2.00504451,2019,1
2019-02-01,53.48,1.936184021,2019,2
2019-03-01,37.34,1.801470588,2019,3
2019-04-01,38.23,1.874201849,2019,4
2019-05-01,40.01,1.715101749,2019,5
2019-06-01,35.73,1.724094761,2019,6
2019-07-01,55.47,1.718351874,2019,7
2019-08-01,45.07,1.735180362,2019,8
2019-09-01,32.71,1.804839887,2019,9
2019-10-01,38.5,1.888502364,2019,10
2019-11-01,41.51,1.910856134,2019,11
2019-12-01,40.95,1.972067994,2019,12
2020-01-01,69.74,2.073514292,2020,1
2020-02-01,74.13,2.019070066,2020,2
2020-03-01,35.29,2.603887997,2020,3
2020-04-01,0.0,0.0,2020,4
2020-05-01,0.0,0.0,2020,5
2020-06-01,1.5,3.324324324,2020,6
2020-07-01,1.4,2.25,2020,7
2020-08-01,1.08,1.690140845,2020,8
2020-09-01,0.29,2.259259259,2020,9
2020-10-01,0.36,1.694444444,2020,10
2020-11-01,2.42,2.0,2020,11
2020-12-01,5.65,1.915451895,2020,12
2021-01-01,20.9,1.89693995,2021,1
2021-02-01,23.33,1.79593007,2021,2
2021-03-01,15.18,1.81478569,2021,3
2021-04-01,9.0,1.911158493,2021,4
2021-05-01,13.98,1.782086796,2021,5
2021-06-01,11.49,1.859964093,2021,6
2021-07-01,19.74,1.866046512,2021,7
2021-08-01,15.05,1.864944962,2021,8
2021-09-01,13.7,1.841829443,2021,9
2021-10-01,16.01,1.993271028,2021,10
2021-11-01,13.05,2.037220844,2021,11
2021-12-01,20.56,2.136562591,2021,12
2022-01-01,57.17,1.883898015,2022,1
2022-02-01,61.84,1.859232656,2022,2
2022-03-01,25.21,1.903903309,2022,3
2022-04-01,39.35,1.861031144,2022,4
2022-05-01,16.68,2.091296409,2022,5
2022-06-01,24.24,1.893679364,2022,6
2022-07-01,33.68,2.008903999,2022,7
2022-08-01,22.2,1.833406884,2022,8
2022-09-01,22.61,1.812290503,2022,9
2022-10-01,24.93,1.787753495,2022,10
2022-11-01,25.27,1.814374874,2022,11
