cat_gral,name,mes,ano,categoria,tipo,visitantes,ap
PN,Aconquija,1,2003,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,1,2003,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,1,2003,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,1,2003,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,1,2003,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,1,2003,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,1,2003,Residentes,Menores,,PN Aconquija
PN,Aconquija,2,2003,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,2,2003,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,2,2003,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,2,2003,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,2,2003,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,2,2003,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,2,2003,Residentes,Menores,,PN Aconquija
PN,Aconquija,3,2003,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,3,2003,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,3,2003,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,3,2003,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,3,2003,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,3,2003,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,3,2003,Residentes,Menores,,PN Aconquija
PN,Aconquija,4,2003,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,4,2003,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,4,2003,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,4,2003,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,4,2003,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,4,2003,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,4,2003,Residentes,Menores,,PN Aconquija
PN,Aconquija,5,2003,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,5,2003,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,5,2003,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,5,2003,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,5,2003,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,5,2003,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,5,2003,Residentes,Menores,,PN Aconquija
PN,Aconquija,6,2003,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,6,2003,Residentes,Nacionales Mayores,2,PN Aconquija
PN,Aconquija,6,2003,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,6,2003,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,6,2003,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,6,2003,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,6,2003,Residentes,Menores,,PN Aconquija
PN,Aconquija,7,2003,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,7,2003,Residentes,Nacionales Mayores,4,PN Aconquija
PN,Aconquija,7,2003,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,7,2003,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,7,2003,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,7,2003,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,7,2003,Residentes,Menores,,PN Aconquija
PN,Aconquija,8,2003,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,8,2003,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,8,2003,Residentes,Residentes Provinciales,3,PN Aconquija
PN,Aconquija,8,2003,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,8,2003,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,8,2003,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,8,2003,Residentes,Menores,,PN Aconquija
PN,Aconquija,9,2003,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,9,2003,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,9,2003,Residentes,Residentes Provinciales,,PN Aconquija
PN,Aconquija,9,2003,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,9,2003,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,9,2003,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,9,2003,Residentes,Menores,,PN Aconquija
PN,Aconquija,10,2003,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,10,2003,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,10,2003,Residentes,Residentes Provinciales,25,PN Aconquija
PN,Aconquija,10,2003,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,10,2003,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,10,2003,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,10,2003,Residentes,Menores,,PN Aconquija
PN,Aconquija,11,2003,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,11,2003,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,11,2003,Residentes,Residentes Provinciales,32,PN Aconquija
PN,Aconquija,11,2003,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,11,2003,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,11,2003,Residentes,Jubilados y Pensionados,,PN Aconquija
PN,Aconquija,11,2003,Residentes,Menores,,PN Aconquija
PN,Aconquija,12,2003,Extranjeros,Extranjeros,,PN Aconquija
PN,Aconquija,12,2003,Residentes,Nacionales Mayores,,PN Aconquija
PN,Aconquija,12,2003,Residentes,Residentes Provinciales,7,PN Aconquija
PN,Aconquija,12,2003,Residentes,Residentes Locales,,PN Aconquija
PN,Aconquija,12,2003,Residentes,Estudiantes,,PN Aconquija
PN,Aconquija,12,2003,Residentes,Jubilados y Pensionados,,PN Aconquija
